branch	result	info
feat/s1-efh-fixes	not-found	-
rollback/root-deployable	not-found	-
wip/backup-20250918-012854	not-found	-
S1-A-fixes	not-found	-
fix/ssr-home-features-and-typedroutes	not-found	-
fix/middleware-health-vin-syntax	not-found	-
fix/health-200	not-found	-
feat/sprint1-seo-basics	not-found	-
ops/health-endpoint-setup	not-found	-
wip/backup-20250917-164028	not-found	-
work/ib-baseline	not-found	-
fix/featuresssr-import-correct	not-found	-
S1-header-wordmark	not-found	-
wip/backup-20250918-011317	not-found	-
wip/backup-20250917-181834	not-found	-
wip/backup-20250918-012020	not-found	-
feat/fonts-headers-hardening	not-found	-
feat/self-hosted-fonts	not-found	-
plan/S1-polish	not-found	-
